problem_id,model,prompt_type,difficulty,generator,is_correct,binary_accuracy,progress_score,valid_steps_ratio,composite_score,initial_length,final_length,valid_steps,total_steps,solution_length,optimal_length
000,LLaMA 3.1 8B,Role-Classify,medium,backward_5,True,1.0,1.0,1.0,1.0,16,0,5,5,5,5
001,LLaMA 3.1 8B,Role-Classify,medium,backward_5,False,0.0,0.16666666666666663,0.3333333333333333,0.09166666666666665,18,15,1,3,3,5
002,LLaMA 3.1 8B,Role-Classify,medium,backward_5,False,0.0,0.6363636363636364,0.75,0.2715909090909091,11,4,3,4,4,5
005,LLaMA 3.1 8B,Role-Classify,medium,backward_5,True,1.0,1.0,0.08620689655172414,0.771551724137931,16,0,5,58,58,5
010,LLaMA 3.1 8B,Role-Classify,hard,backward_7,False,0.0,0.9375,0.09333333333333334,0.248375,16,1,7,75,75,7
020,LLaMA 3.1 8B,Role-Classify,hard,backward_7,False,0.0,0.0,0.0,0.0,23,23,0,12,12,7
022,LLaMA 3.1 8B,Role-Classify,hard,backward_7,False,0.0,0.6666666666666667,0.625,0.2604166666666667,21,7,5,8,8,7
023,LLaMA 3.1 8B,Role-Classify,hard,backward_7,False,0.0,0.0,0.0,0.0,19,19,0,1,1,7
024,LLaMA 3.1 8B,Role-Classify,hard,backward_7,False,0.0,0.8095238095238095,0.4,0.2623809523809524,21,4,6,15,15,7
027,LLaMA 3.1 8B,Role-Classify,hard,backward_7,True,1.0,1.0,0.21212121212121213,0.8030303030303031,23,0,7,33,33,7
032,LLaMA 3.1 8B,Role-Classify,hard,backward_7,True,1.0,1.0,0.1590909090909091,0.7897727272727272,20,0,7,44,44,7
036,LLaMA 3.1 8B,Role-Classify,hard,backward_7,True,1.0,1.0,0.16279069767441862,0.7906976744186046,20,0,7,43,43,7
038,LLaMA 3.1 8B,Role-Classify,hard,backward_7,True,1.0,1.0,0.14285714285714285,0.7857142857142857,19,0,7,49,49,7
041,LLaMA 3.1 8B,Role-Classify,hard,backward_7,False,0.0,0.8571428571428572,0.75,0.3267857142857143,21,3,6,8,8,7
045,LLaMA 3.1 8B,Role-Classify,medium,backward_3,False,0.0,0.5555555555555556,0.18181818181818182,0.16616161616161618,9,4,2,11,11,3
046,LLaMA 3.1 8B,Role-Classify,medium,backward_3,True,1.0,1.0,0.6,0.8999999999999999,9,0,3,5,5,3
048,LLaMA 3.1 8B,Role-Classify,medium,backward_3,True,1.0,1.0,1.0,1.0,8,0,3,3,3,3
051,LLaMA 3.1 8B,Role-Classify,medium,backward_3,False,0.0,0.4444444444444444,0.5,0.18611111111111112,9,5,1,2,2,3
057,LLaMA 3.1 8B,Role-Classify,easy,sort_4,True,1.0,1.0,1.0,1.0,8,0,3,3,3,3
059,LLaMA 3.1 8B,Role-Classify,easy,sort_4,True,1.0,1.0,0.8333333333333334,0.9583333333333334,8,0,5,6,6,5
060,LLaMA 3.1 8B,Role-Classify,easy,sort_4,False,0.0,0.0,0.4,0.06,8,8,2,5,5,5
061,LLaMA 3.1 8B,Role-Classify,easy,sort_4,True,1.0,1.0,0.5,0.875,8,0,1,2,2,1
063,LLaMA 3.1 8B,Role-Classify,medium,sort_4,False,0.0,0.0,0.5,0.075,8,8,1,2,2,6
073,LLaMA 3.1 8B,Role-Classify,easy,concat_2,True,1.0,1.0,1.0,1.0,11,0,2,2,2,2
074,LLaMA 3.1 8B,Role-Classify,easy,concat_2,True,1.0,1.0,1.0,1.0,8,0,2,2,2,2
077,LLaMA 3.1 8B,Role-Classify,easy,concat_2,True,1.0,1.0,1.0,1.0,7,0,2,2,2,2
082,LLaMA 3.1 8B,Role-Classify,medium,sort_3,True,1.0,1.0,0.14285714285714285,0.7857142857142857,6,0,7,49,49,7
085,LLaMA 3.1 8B,Role-Classify,easy,sort_3,True,1.0,1.0,0.5,0.875,6,0,2,4,4,2
088,LLaMA 3.1 8B,Role-Classify,medium,sort_3,False,0.0,0.0,0.5,0.075,6,6,1,2,2,7
090,LLaMA 3.1 8B,Role-Classify,medium,sort_3,False,0.0,0.0,0.0,0.0,6,6,0,2,2,6
094,LLaMA 3.1 8B,Role-Classify,hard,backward_7,False,0.0,0.08695652173913049,0.5,0.09673913043478262,23,21,1,2,2,7
095,LLaMA 3.1 8B,Role-Classify,hard,backward_7,True,1.0,1.0,0.6363636363636364,0.9090909090909091,19,0,7,11,11,7
000,LLaMA 3.3 70B,Role-Classify,medium,backward_5,True,1.0,1.0,0.14705882352941177,0.7867647058823529,16,0,5,34,34,5
001,LLaMA 3.3 70B,Role-Classify,medium,backward_5,True,1.0,1.0,0.7142857142857143,0.9285714285714285,18,0,5,7,7,5
002,LLaMA 3.3 70B,Role-Classify,medium,backward_5,False,0.0,0.8181818181818181,1.0,0.3545454545454545,11,2,4,4,4,5
005,LLaMA 3.3 70B,Role-Classify,medium,backward_5,True,1.0,1.0,0.1388888888888889,0.7847222222222222,16,0,5,36,36,5
010,LLaMA 3.3 70B,Role-Classify,hard,backward_7,True,1.0,1.0,1.0,1.0,16,0,7,7,7,7
020,LLaMA 3.3 70B,Role-Classify,hard,backward_7,True,1.0,1.0,0.14285714285714285,0.7857142857142857,23,0,7,49,49,7
022,LLaMA 3.3 70B,Role-Classify,hard,backward_7,True,1.0,1.0,0.7777777777777778,0.9444444444444444,21,0,7,9,9,7
