model,prompt_type,problem_id,is_correct,error_type,response_time,difficulty,generator,model_display,prompt_display
llama-3.3-70b,zero_shot,061,True,,2.0765881538391113,easy,sort_4,LLaMA 3.3 70B,Zero-Shot
llama-3.3-70b,zero_shot,057,False,invalid_solution,4.472132205963135,easy,sort_4,LLaMA 3.3 70B,Zero-Shot
llama-3.3-70b,zero_shot,074,True,,1.2176079750061035,easy,concat_2,LLaMA 3.3 70B,Zero-Shot
llama-3.3-70b,zero_shot,073,True,,4.394488096237183,easy,concat_2,LLaMA 3.3 70B,Zero-Shot
llama-3.3-70b,zero_shot,085,False,invalid_solution,2.92809796333313,easy,sort_3,LLaMA 3.3 70B,Zero-Shot
llama-3.3-70b,zero_shot,060,False,invalid_solution,5.9260358810424805,easy,sort_4,LLaMA 3.3 70B,Zero-Shot
llama-3.3-70b,zero_shot,077,True,,0.9683067798614502,easy,concat_2,LLaMA 3.3 70B,Zero-Shot
llama-3.3-70b,zero_shot,059,False,invalid_solution,4.554738998413086,easy,sort_4,LLaMA 3.3 70B,Zero-Shot
llama-3.3-70b,zero_shot,082,False,invalid_solution,4.084472179412842,medium,sort_3,LLaMA 3.3 70B,Zero-Shot
llama-3.3-70b,zero_shot,005,True,,1.985809087753296,medium,backward_5,LLaMA 3.3 70B,Zero-Shot
llama-3.3-70b,zero_shot,088,False,invalid_solution,3.3210208415985107,medium,sort_3,LLaMA 3.3 70B,Zero-Shot
llama-3.3-70b,zero_shot,063,False,invalid_solution,4.271517038345337,medium,sort_4,LLaMA 3.3 70B,Zero-Shot
llama-3.3-70b,zero_shot,002,False,invalid_solution,1.71905517578125,medium,backward_5,LLaMA 3.3 70B,Zero-Shot
llama-3.3-70b,zero_shot,001,False,invalid_solution,4.601414918899536,medium,backward_5,LLaMA 3.3 70B,Zero-Shot
llama-3.3-70b,zero_shot,090,False,invalid_solution,3.284958839416504,medium,sort_3,LLaMA 3.3 70B,Zero-Shot
llama-3.3-70b,zero_shot,045,True,,0.9322860240936279,medium,backward_3,LLaMA 3.3 70B,Zero-Shot
llama-3.3-70b,zero_shot,046,True,,3.7092669010162354,medium,backward_3,LLaMA 3.3 70B,Zero-Shot
llama-3.3-70b,zero_shot,048,True,,2.1765339374542236,medium,backward_3,LLaMA 3.3 70B,Zero-Shot
