Model,Prompt Type,Accuracy (%),Correct,Total,Invalid Solutions,API Errors,Avg Response Time (s)
LLaMA 3.3 70B,Zero-Shot,31.25,10,32,22,0,3.1673175916075706
LLaMA 3.3 70B,Few-Shot,34.375,11,32,19,2,57.34971249103546
LLaMA 3.3 70B,CoT,31.25,10,32,22,0,269.23477398604155
LLaMA 3.3 70B,Self-Verify,31.25,10,32,22,0,342.5330549329519
LLaMA 3.3 70B,Role-Classify,28.125,9,32,22,1,407.08741779625416
LLaMA 4 Scout,Zero-Shot,37.5,12,32,20,0,2.9853360429406166
LLaMA 4 Scout,Few-Shot,43.75,14,32,18,0,3.0044778138399124
LLaMA 4 Scout,CoT,37.5,12,32,20,0,2.9493073374032974
LLaMA 4 Scout,Self-Verify,25.0,8,32,24,0,60.97129227221012
LLaMA 4 Scout,Role-Classify,34.375,11,32,21,0,109.3543766438961
LLaMA 3.1 8B,Zero-Shot,6.25,2,32,30,0,4.734843723475933
LLaMA 3.1 8B,Few-Shot,9.375,3,32,29,0,12.12835231423378
LLaMA 3.1 8B,CoT,15.625,5,32,27,0,8.427680887281895
LLaMA 3.1 8B,Self-Verify,6.25,2,32,30,0,8.404923237860203
LLaMA 3.1 8B,Role-Classify,18.75,6,32,26,0,8.444722160696983
